127.0.0.1 - - [23/Feb/2022:13:32:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 162017
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 62440
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:08 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:57 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:57 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:32:57 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
