0:0:0:0:0:0:0:1 - - [27/Feb/2022:00:33:34 +0900] "GET /Lecture_Evaluation/userRegisterAction.jsp HTTP/1.1" 500 2912
127.0.0.1 - - [27/Feb/2022:12:07:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11895
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 162017
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 62440
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:20 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11895
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:33 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:34 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:34 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:34 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:40 +0900] "POST /Lecture_Evaluation/userRegisterAction.jsp HTTP/1.1" 500 2912
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:25 +0900] "POST /Lecture_Evaluation/userRegisterAction.jsp HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:28 +0900] "POST /Lecture_Evaluation/userRegisterAction.jsp HTTP/1.1" 200 91
127.0.0.1 - - [27/Feb/2022:12:22:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:22:59 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:22:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:35:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:35:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 200078
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:35:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 137577
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:38:43 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 812
